epoch,accuracy,loss,val_accuracy,val_loss
0,0.17294900119304657,6.55072546005249,0.29969504475593567,5.584641933441162
1,0.5222015380859375,4.380005836486816,0.8203178644180298,3.094371795654297
2,0.7988879084587097,3.1230239868164062,0.8976908326148987,2.76611328125
3,0.8555266857147217,2.8969385623931885,0.9200413227081299,2.6753618717193604
4,0.8824529051780701,2.7930116653442383,0.9291292428970337,2.6300454139709473
5,0.8974020481109619,2.7358641624450684,0.9366955161094666,2.597346305847168
6,0.9075117707252502,2.6967458724975586,0.940742015838623,2.578209400177002
7,0.9149537682533264,2.668928384780884,0.9443837404251099,2.566478967666626
8,0.9207483530044556,2.646982192993164,0.9463666677474976,2.5579850673675537
9,0.9254872798919678,2.6293392181396484,0.9490746259689331,2.5462751388549805
10,0.9417662024497986,2.573556423187256,0.9532917737960815,2.5233170986175537
11,0.9452933669090271,2.5604889392852783,0.9536304473876953,2.5203614234924316
12,0.9471679925918579,2.5542798042297363,0.9535750150680542,2.521379232406616
12,0.9317417144775391,2.60597825050354,0.9501054883003235,2.5417778491973877
