epoch,accuracy,loss,val_accuracy,val_loss
0,0.4200098514556885,2.1912271976470947,0.6317842602729797,1.6582320928573608
1,0.7719699144363403,1.3407306671142578,0.9269180297851562,0.9458038210868835
2,0.8865259885787964,1.0703974962234497,0.9396163821220398,0.962435781955719
3,0.9063857197761536,1.0292092561721802,0.9570336937904358,0.8839544057846069
4,0.9145217537879944,1.0155220031738281,0.9561138153076172,0.8901273012161255
5,0.9380987882614136,0.9188680052757263,0.9683125019073486,0.8265630602836609
6,0.9404836893081665,0.9147247672080994,0.969224750995636,0.8208270072937012
7,0.9419278502464294,0.9129112362861633,0.9697117209434509,0.8234024047851562
8,0.9445810317993164,0.9042436480522156,0.9715527892112732,0.8080897331237793
9,0.946670651435852,0.8975170850753784,0.9727407097816467,0.8072604537010193
10,0.950417697429657,0.8803623914718628,0.9740565419197083,0.7983383536338806
11,0.9504191875457764,0.8824828267097473,0.9734928011894226,0.8008357286453247
