epoch,accuracy,loss,val_accuracy,val_loss
0,0.4387739300727844,2.148948907852173,0.6195366978645325,1.685552716255188
1,0.7872213125228882,1.2988988161087036,0.9418176412582397,0.9048908948898315
2,0.9172684550285339,0.9888425469398499,0.9659384489059448,0.8325881361961365
3,0.9435688853263855,0.9217015504837036,0.972610592842102,0.8298670053482056
4,0.9513763189315796,0.9067716598510742,0.9749389290809631,0.827997088432312
5,0.956148087978363,0.8981674313545227,0.9753479361534119,0.8510228395462036
6,0.9596415758132935,0.8919052481651306,0.9781506061553955,0.8326489329338074
7,0.9725548028945923,0.8125218749046326,0.9841034412384033,0.7662158012390137
8,0.9745765924453735,0.8078884482383728,0.9846201539039612,0.7665963768959045
9,0.9755898118019104,0.8056666254997253,0.9849849343299866,0.7663639783859253
10,0.9768598079681396,0.8008858561515808,0.9856143593788147,0.7643260359764099
